,cluster,title
0,0,Machine learning tackles quantum error correction
1,4,Machine Learning for Humans: A Beginner's Guide to AI/ML
2,9,DeepL schools other online translators with clever machine learning
3,0,Mathematics of Machine Learning
4,2,MIT researchers use machine learning to kill video buffering
5,6,Microsoft built a hardware platform for real-time AI
6,5,John Deere is Paying $305 Million for Blue River Technology
7,4,IBM and MIT Bet That Materials and Quantum Advances Will Supercharge AI - MIT Technology Review
8,5,Machines Learn a Biased View of Women
9,1,24 technology companies losing top talent at an 'alarming rate' | Gadgets Now
10,2,Google releases millions of bad drawings for you (and your AI) to paw through
11,0,How Machine Learning Advances Will Improve the Fairness of Algorithms | HuffPost
12,5,Machines Learn a Biased View of Women | WIRED
13,0,Amazon Has Developed an AI Fashion Designer - MIT Technology Review
14,9,Google and ProPublica team up to build a national hate crime database
15,1,"Microsoft unveils Brainwave, a system for running super-fast AI"
16,4,"A Survey of 3,000 Executives Reveals How Businesses Succeed with AI"
17,4,"IBM and MIT to pursue joint research in artificial intelligence, establish new MIT–IBM Watson AI Lab"
18,1,Possibility of hosting Amazon North American headquarters has Edmonton mayor excited
19,4,"Racist & sexist AI bots could deny you job, insurance & loans – tech experts"
20,2,Apple Wins Top Computer Vision & Pattern Recognition Award for First AI Research Paper
21,4,MIT and IBM establish joint AI research lab
22,9,Google Doubles Down on Purging Conservative Speech
23,1,Uber's ML Platform – Michelangelo
24,8,"Google acquires AIMatter, maker of the Fabby computer vision app"
25,9,"ProPublica, Working with Google to 'Document Hate,' Threatens Conservative Bloggers | Lifestyle"
26,8,Google removes 300 Android apps for secretly hijacking phones for DDoS attacks - The Verge
27,4,"Gartner's Hype Cycle for Emerging Technologies, 2017 Adds 5G And Deep Learning For First Time"
28,3,Facebook says 'likely' Russian operation spent money on ads with divisive political messages
29,5,"Scanning The Future, Radiologists See Their Jobs At Risk : All Tech Considered : NPR"
30,4,"For Superpowers, Artificial Intelligence Fuels New Global Arms Race | WIRED"
31,0,What are algorithms?
32,1,Meltwater bolsters its machine learning portfolio with Cosmify acquisition
33,3,"Facebook gave special counsel Robert Mueller data on Russian ads, report says"
34,0,AI Will Soon Identify Protesters With Their Faces Partly Concealed
35,3,Facebook fake news
36,1,Apple iPhone event set for September 12th
37,9,Salesforce is using AI to democratize SQL so anyone can query databases in natural language
38,1,Here's a Retail Job That's Still in High Demand: Data Scientist
39,3,Facebook says 'likely' Russian operation spent money on ads with divisive political messages
40,9,Shutterstock has reverse engineered Google's watermark-removal app
